Invoice,Branch,City,Type,Gender,Category,Cost,Sale,Date,Year,Month,Day,Date2,Time,Payment,Review
824-88-3614,C,Houston,Normal,Male,Health and beauty, $274.48 , $288.20 ,1/25/2019,2019,1,25,25/01/19,15:00:00,Ewallet,5.7
586-25-0848,A,Nueva York,Normal,Female,Sports and travel, $86.38 , $90.70 ,03/04/19,2019,3,4,04/03/19,11:19:00,Credit card,6.7
895-66-0685,B,Chicago,Member,Male,Food and beverages, $54.24 , $56.95 ,03/05/19,2019,3,5,05/03/19,19:46:00,Ewallet,8.0
305-14-0245,B,Chicago,Member,Female,Home and lifestyle, $755.92 , $793.72 ,03/03/19,2019,3,3,03/03/19,19:00:00,Ewallet,7.5
732-04-5373,B,Chicago,Member,Male,Home and lifestyle, $185.88 , $195.17 ,02/08/19,2019,2,8,08/02/19,10:53:00,Cash,7.0
400-60-7251,A,Nueva York,Normal,Male,Home and lifestyle, $74.07 , $77.77 ,02/10/19,2019,2,10,10/02/19,12:50:00,Ewallet,9.9
593-65-1552,C,Houston,Normal,Female,Home and lifestyle, $279.24 , $293.20 ,1/28/2019,2019,1,28,28/01/19,20:50:00,Credit card,5.9
284-34-9626,B,Chicago,Normal,Female,Home and lifestyle, $231.12 , $242.68 ,02/11/19,2019,2,11,11/02/19,10:39:00,Credit card,7.2
437-58-8131,B,Chicago,Normal,Female,Fashion accessories, $147.04 , $154.39 ,1/15/2019,2019,1,15,15/01/19,13:41:00,Ewallet,4.6
286-43-6208,C,Houston,Normal,Female,Food and beverages, $790.20 , $829.71 ,3/16/2019,2019,3,16,16/03/19,19:08:00,Cash,9.2
641-43-2399,B,Chicago,Normal,Male,Home and lifestyle, $102.20 , $107.31 ,1/26/2019,2019,1,26,26/01/19,20:23:00,Ewallet,5.7
831-07-6050,A,Nueva York,Normal,Male,Electronic accessories, $163.55 , $171.73 ,3/19/2019,2019,3,19,19/03/19,11:30:00,Credit card,9.9
556-86-3144,C,Houston,Member,Female,Fashion accessories, $74.29 , $78.00 ,1/13/2019,2019,1,13,13/01/19,19:30:00,Cash,5.0
848-24-9445,C,Houston,Member,Male,Health and beauty, $87.40 , $91.77 ,3/26/2019,2019,3,26,26/03/19,18:03:00,Cash,4.9
856-22-8149,A,Nueva York,Normal,Female,Home and lifestyle, $25.29 , $26.55 ,3/23/2019,2019,3,23,23/03/19,10:13:00,Ewallet,6.1
699-01-4164,C,Houston,Normal,Male,Health and beauty, $166.00 , $174.30 ,03/12/19,2019,3,12,12/03/19,19:58:00,Credit card,8.2
420-11-4919,C,Houston,Member,Female,Food and beverages, $356.95 , $374.80 ,2/17/2019,2019,2,17,17/02/19,19:57:00,Credit card,5.5
606-80-4905,C,Houston,Member,Female,Sports and travel, $114.90 , $120.65 ,1/29/2019,2019,1,29,29/01/19,10:01:00,Credit card,6.8
542-41-0513,B,Chicago,Member,Female,Electronic accessories, $229.96 , $241.46 ,3/15/2019,2019,3,15,15/03/19,11:57:00,Cash,6.6
426-39-2418,C,Houston,Normal,Male,Electronic accessories, $429.87 , $451.36 ,1/14/2019,2019,1,14,14/01/19,10:02:00,Cash,9.8
875-46-5808,B,Chicago,Member,Male,Health and beauty, $259.00 , $271.95 ,02/06/19,2019,2,6,06/02/19,14:51:00,Ewallet,8.7
394-43-4238,B,Chicago,Member,Male,Home and lifestyle, $88.85 , $93.29 ,2/15/2019,2019,2,15,15/02/19,12:42:00,Credit card,5.4
749-24-1565,A,Nueva York,Normal,Female,Health and beauty, $207.27 , $217.63 ,01/03/19,2019,1,3,03/01/19,12:02:00,Ewallet,7.9
672-51-8681,C,Houston,Member,Female,Electronic accessories, $599.85 , $629.84 ,01/04/19,2019,1,4,04/01/19,18:19:00,Credit card,9.7
263-87-5680,C,Houston,Member,Female,Home and lifestyle, $285.30 , $299.57 ,3/18/2019,2019,3,18,18/03/19,17:38:00,Ewallet,7.8
573-58-9734,B,Chicago,Normal,Female,Fashion accessories, $91.11 , $95.67 ,3/28/2019,2019,3,28,28/03/19,13:41:00,Ewallet,5.1
817-69-8206,B,Chicago,Normal,Female,Electronic accessories, $897.57 , $942.45 ,03/02/19,2019,3,2,02/03/19,19:42:00,Credit card,6.5
888-02-0338,A,Nueva York,Normal,Male,Electronic accessories, $236.07 , $247.87 ,1/25/2019,2019,1,25,25/01/19,20:24:00,Ewallet,5.9
677-11-0152,C,Houston,Normal,Female,Food and beverages, $839.34 , $881.31 ,1/16/2019,2019,1,16,16/01/19,18:08:00,Cash,8.8
142-63-6033,B,Chicago,Normal,Male,Home and lifestyle, $461.80 , $484.89 ,3/20/2019,2019,3,20,20/03/19,19:17:00,Ewallet,4.9
656-16-1063,B,Chicago,Normal,Male,Sports and travel, $139.26 , $146.22 ,01/04/19,2019,1,4,04/01/19,13:24:00,Credit card,4.4
891-58-8335,B,Chicago,Member,Female,Sports and travel, $207.27 , $217.63 ,03/11/19,2019,3,11,11/03/19,15:53:00,Cash,6.5
802-43-8934,A,Nueva York,Normal,Male,Home and lifestyle, $18.28 , $19.19 ,3/22/2019,2019,3,22,22/03/19,15:05:00,Credit card,8.3
560-30-5617,B,Chicago,Normal,Female,Sports and travel, $123.85 , $130.04 ,3/24/2019,2019,3,24,24/03/19,18:27:00,Cash,8.5
319-74-2561,A,Nueva York,Member,Female,Electronic accessories, $283.92 , $298.12 ,2/21/2019,2019,2,21,21/02/19,16:55:00,Cash,5.5
549-03-9315,B,Chicago,Normal,Male,Fashion accessories, $758.96 , $796.91 ,02/12/19,2019,2,12,12/02/19,12:58:00,Ewallet,8.7
790-29-1172,B,Chicago,Normal,Female,Food and beverages, $172.02 , $180.62 ,03/10/19,2019,3,10,10/03/19,18:59:00,Credit card,7.9
239-36-3640,B,Chicago,Normal,Male,Electronic accessories, $272.10 , $285.71 ,1/31/2019,2019,1,31,31/01/19,13:44:00,Ewallet,6.1
468-01-2051,B,Chicago,Normal,Male,Food and beverages, $434.56 , $456.29 ,03/06/19,2019,3,6,06/03/19,13:46:00,Ewallet,5.4
389-25-3394,C,Houston,Normal,Male,Electronic accessories, $59.05 , $62.00 ,2/17/2019,2019,2,17,17/02/19,18:06:00,Cash,9.4
279-62-1445,C,Houston,Member,Female,Fashion accessories, $12.54 , $13.17 ,2/21/2019,2019,2,21,21/02/19,12:38:00,Cash,8.2
213-72-6612,A,Nueva York,Normal,Male,Food and beverages, $86.50 , $90.83 ,3/20/2019,2019,3,20,20/03/19,15:56:00,Cash,6.2
746-68-6593,C,Houston,Member,Female,Sports and travel, $174.32 , $183.04 ,01/11/19,2019,1,11,11/01/19,14:29:00,Credit card,9.7
836-82-5858,B,Chicago,Member,Male,Health and beauty, $624.33 , $655.55 ,1/26/2019,2019,1,26,26/01/19,19:14:00,Ewallet,4.0
583-72-1480,C,Houston,Member,Male,Electronic accessories, $148.24 , $155.65 ,1/31/2019,2019,1,31,31/01/19,16:24:00,Ewallet,9.7
466-61-5506,B,Chicago,Member,Female,Electronic accessories, $544.20 , $571.41 ,2/26/2019,2019,2,26,26/02/19,10:52:00,Cash,5.3
721-86-6247,A,Nueva York,Normal,Female,Home and lifestyle, $507.36 , $532.73 ,03/11/19,2019,3,11,11/03/19,12:55:00,Ewallet,7.4
289-65-5721,B,Chicago,Normal,Female,Fashion accessories, $162.74 , $170.88 ,1/26/2019,2019,1,26,26/01/19,19:28:00,Cash,6.5
545-46-3100,B,Chicago,Member,Female,Electronic accessories, $31.77 , $33.36 ,03/12/19,2019,3,12,12/03/19,13:52:00,Credit card,8.7
418-02-5978,B,Chicago,Normal,Female,Health and beauty, $756.81 , $794.65 ,02/11/19,2019,2,11,11/02/19,10:54:00,Cash,8.0
269-04-5750,B,Chicago,Member,Male,Fashion accessories, $295.28 , $310.04 ,2/21/2019,2019,2,21,21/02/19,18:31:00,Cash,6.7
157-13-5295,A,Nueva York,Member,Male,Health and beauty, $519.40 , $545.37 ,03/09/19,2019,3,9,09/03/19,18:24:00,Ewallet,6.5
645-78-8093,A,Nueva York,Normal,Female,Sports and travel, $186.28 , $195.59 ,1/20/2019,2019,1,20,20/01/19,18:09:00,Ewallet,4.1
211-30-9270,C,Houston,Normal,Male,Health and beauty, $87.05 , $91.40 ,1/28/2019,2019,1,28,28/01/19,15:16:00,Credit card,4.9
755-12-3214,C,Houston,Member,Female,Fashion accessories, $221.10 , $232.16 ,03/05/19,2019,3,5,05/03/19,17:07:00,Credit card,8.6
346-84-3103,B,Chicago,Member,Female,Electronic accessories, $66.10 , $69.41 ,03/02/19,2019,3,2,02/03/19,19:26:00,Cash,4.3
478-06-7835,A,Nueva York,Normal,Male,Fashion accessories, $89.69 , $94.17 ,01/11/19,2019,1,11,11/01/19,11:20:00,Ewallet,4.9
540-11-4336,A,Nueva York,Normal,Male,Food and beverages, $224.46 , $235.68 ,01/11/19,2019,1,11,11/01/19,16:49:00,Credit card,5.6
448-81-5016,A,Nueva York,Normal,Male,Health and beauty, $119.54 , $125.52 ,03/11/19,2019,3,11,11/03/19,12:01:00,Credit card,5.8
142-72-4741,C,Houston,Member,Male,Fashion accessories, $186.40 , $195.72 ,2/28/2019,2019,2,28,28/02/19,18:37:00,Credit card,6.0
217-58-1179,A,Nueva York,Member,Male,Home and lifestyle, $250.60 , $263.13 ,01/05/19,2019,1,5,05/01/19,11:25:00,Cash,4.2
376-02-8238,B,Chicago,Normal,Male,Home and lifestyle, $750.96 , $788.51 ,02/02/19,2019,2,2,02/02/19,18:42:00,Credit card,8.3
530-90-9855,A,Nueva York,Member,Male,Home and lifestyle, $380.72 , $399.76 ,01/01/19,2019,1,1,01/01/19,14:47:00,Cash,5.7
866-05-7563,B,Chicago,Member,Female,Electronic accessories, $244.20 , $256.41 ,02/09/19,2019,2,9,09/02/19,19:43:00,Cash,4.8
604-70-6476,A,Nueva York,Member,Male,Fashion accessories, $89.70 , $94.19 ,1/23/2019,2019,1,23,23/01/19,14:04:00,Ewallet,6.8
799-71-1548,A,Nueva York,Member,Male,Electronic accessories, $310.88 , $326.42 ,01/07/19,2019,1,7,07/01/19,16:11:00,Credit card,8.8
785-13-7708,B,Chicago,Normal,Male,Food and beverages, $511.42 , $536.99 ,1/14/2019,2019,1,14,14/01/19,19:06:00,Credit card,4.2
845-51-0542,B,Chicago,Member,Male,Food and beverages, $418.95 , $439.90 ,02/02/19,2019,2,2,02/02/19,15:34:00,Ewallet,6.4
662-47-5456,C,Houston,Member,Male,Fashion accessories, $351.90 , $369.50 ,3/17/2019,2019,3,17,17/03/19,19:06:00,Credit card,8.4
883-17-4236,C,Houston,Normal,Female,Sports and travel, $28.78 , $30.22 ,03/02/19,2019,3,2,02/03/19,19:44:00,Credit card,7.2
290-68-2984,A,Nueva York,Normal,Male,Home and lifestyle, $95.00 , $99.75 ,3/16/2019,2019,3,16,16/03/19,11:22:00,Cash,5.2
704-11-6354,A,Nueva York,Member,Male,Home and lifestyle, $471.20 , $494.76 ,01/06/19,2019,1,6,06/01/19,11:23:00,Cash,8.9
110-48-7033,B,Chicago,Member,Male,Fashion accessories, $130.48 , $137.00 ,1/29/2019,2019,1,29,29/01/19,14:12:00,Cash,9.0
366-93-0948,A,Nueva York,Member,Male,Electronic accessories, $66.35 , $69.67 ,1/31/2019,2019,1,31,31/01/19,10:46:00,Credit card,9.7
729-09-9681,A,Nueva York,Member,Male,Home and lifestyle, $155.46 , $163.23 ,02/05/19,2019,2,5,05/02/19,10:16:00,Ewallet,8.7
151-16-1484,A,Nueva York,Member,Male,Electronic accessories, $129.00 , $135.45 ,2/13/2019,2019,2,13,13/02/19,12:38:00,Ewallet,6.5
380-94-4661,C,Houston,Member,Male,Electronic accessories, $263.76 , $276.95 ,02/07/19,2019,2,7,07/02/19,13:05:00,Credit card,6.9
850-41-9669,A,Nueva York,Normal,Female,Electronic accessories, $675.54 , $709.32 ,3/19/2019,2019,3,19,19/03/19,13:25:00,Ewallet,6.2
821-07-3596,C,Houston,Normal,Female,Fashion accessories, $65.80 , $69.09 ,03/07/19,2019,3,7,07/03/19,14:53:00,Ewallet,5.6
655-85-5130,B,Chicago,Member,Female,Fashion accessories, $153.20 , $160.86 ,3/13/2019,2019,3,13,13/03/19,19:22:00,Cash,5.7
447-15-7839,A,Nueva York,Member,Female,Sports and travel, $222.40 , $233.52 ,02/09/19,2019,2,9,09/02/19,11:00:00,Cash,4.2
154-74-7179,B,Chicago,Normal,Male,Sports and travel, $54.45 , $57.17 ,2/26/2019,2019,2,26,26/02/19,19:24:00,Ewallet,7.9
253-12-6086,A,Nueva York,Member,Female,Sports and travel, $688.80 , $723.24 ,03/12/19,2019,3,12,12/03/19,12:43:00,Credit card,8.7
808-65-0703,C,Houston,Normal,Male,Home and lifestyle, $141.88 , $148.97 ,3/14/2019,2019,3,14,14/03/19,17:22:00,Credit card,6.9
571-94-0759,B,Chicago,Member,Female,Food and beverages, $746.00 , $783.30 ,01/08/19,2019,1,8,08/01/19,20:55:00,Cash,9.5
144-51-6085,A,Nueva York,Member,Male,Home and lifestyle, $282.96 , $297.11 ,01/05/19,2019,1,5,05/01/19,16:05:00,Credit card,4.4
731-14-2199,A,Nueva York,Member,Female,Home and lifestyle, $355.40 , $373.17 ,01/04/19,2019,1,4,04/01/19,13:34:00,Ewallet,7.0
783-09-1637,B,Chicago,Normal,Female,Sports and travel, $337.15 , $354.01 ,03/06/19,2019,3,6,06/03/19,18:13:00,Ewallet,6.3
687-15-1097,C,Houston,Member,Female,Health and beauty, $42.24 , $44.35 ,01/03/19,2019,1,3,03/01/19,19:17:00,Cash,9.7
126-54-1082,A,Nueva York,Member,Female,Home and lifestyle, $193.86 , $203.55 ,01/07/19,2019,1,7,07/01/19,11:44:00,Credit card,8.8
633-91-1052,A,Nueva York,Normal,Female,Home and lifestyle, $24.06 , $25.26 ,1/27/2019,2019,1,27,27/01/19,15:51:00,Cash,5.1
477-24-6490,B,Chicago,Normal,Female,Health and beauty, $598.26 , $628.17 ,2/26/2019,2019,2,26,26/02/19,16:52:00,Ewallet,7.9
566-19-5475,B,Chicago,Normal,Male,Fashion accessories, $335.79 , $352.58 ,01/07/19,2019,1,7,07/01/19,20:52:00,Cash,6.2
526-86-8552,C,Houston,Member,Female,Home and lifestyle, $218.20 , $229.11 ,01/07/19,2019,1,7,07/01/19,17:36:00,Cash,7.1
376-56-3573,C,Houston,Normal,Female,Fashion accessories, $381.68 , $400.76 ,02/02/19,2019,2,2,02/02/19,13:23:00,Ewallet,6.4
537-72-0426,C,Houston,Member,Male,Fashion accessories, $709.90 , $745.40 ,3/20/2019,2019,3,20,20/03/19,16:28:00,Cash,5.7
828-61-5674,A,Nueva York,Member,Male,Sports and travel, $440.20 , $462.21 ,3/20/2019,2019,3,20,20/03/19,19:57:00,Credit card,9.6
136-08-6195,A,Nueva York,Normal,Female,Home and lifestyle, $559.68 , $587.66 ,2/15/2019,2019,2,15,15/02/19,17:01:00,Credit card,6.4
523-38-0215,C,Houston,Normal,Male,Home and lifestyle, $37.00 , $38.85 ,03/06/19,2019,3,6,06/03/19,13:29:00,Credit card,7.9
490-29-1201,A,Nueva York,Normal,Female,Sports and travel, $15.34 , $16.11 ,01/06/19,2019,1,6,06/01/19,11:09:00,Cash,6.5
667-92-0055,A,Nueva York,Member,Male,Health and beauty, $598.98 , $628.93 ,03/04/19,2019,3,4,04/03/19,15:02:00,Ewallet,8.5
565-17-3836,A,Nueva York,Member,Female,Health and beauty, $190.68 , $200.21 ,03/12/19,2019,3,12,12/03/19,14:21:00,Cash,9.1
498-41-1961,B,Chicago,Normal,Male,Health and beauty, $333.40 , $350.07 ,2/20/2019,2019,2,20,20/02/19,18:01:00,Cash,7.6
593-95-4461,C,Houston,Member,Male,Home and lifestyle, $74.86 , $78.60 ,3/24/2019,2019,3,24,24/03/19,14:49:00,Cash,6.9
226-71-3580,C,Houston,Normal,Female,Sports and travel, $213.75 , $224.44 ,1/31/2019,2019,1,31,31/01/19,12:02:00,Cash,9.5
283-79-9594,B,Chicago,Normal,Female,Food and beverages, $339.57 , $356.55 ,1/25/2019,2019,1,25,25/01/19,13:30:00,Credit card,5.2
430-60-3493,A,Nueva York,Member,Female,Home and lifestyle, $664.16 , $697.37 ,02/03/19,2019,2,3,03/02/19,14:38:00,Cash,4.2
139-20-0155,B,Chicago,Member,Male,Electronic accessories, $403.00 , $423.15 ,1/24/2019,2019,1,24,24/01/19,17:37:00,Credit card,7.0
558-80-4082,C,Houston,Normal,Male,Electronic accessories, $194.95 , $204.70 ,3/14/2019,2019,3,14,14/03/19,17:20:00,Ewallet,6.0
278-97-7759,A,Nueva York,Member,Female,Electronic accessories, $62.48 , $65.60 ,2/18/2019,2019,2,18,18/02/19,20:29:00,Cash,4.7
316-68-6352,A,Nueva York,Member,Female,Food and beverages, $72.72 , $76.36 ,1/21/2019,2019,1,21,21/01/19,10:00:00,Cash,7.1
585-03-5943,B,Chicago,Normal,Male,Health and beauty, $181.10 , $190.16 ,3/13/2019,2019,3,13,13/03/19,11:46:00,Ewallet,5.9
211-05-0490,C,Houston,Member,Female,Electronic accessories, $259.60 , $272.58 ,03/03/19,2019,3,3,03/03/19,13:42:00,Cash,7.5
727-75-6477,C,Houston,Normal,Male,Electronic accessories, $115.36 , $121.13 ,3/29/2019,2019,3,29,29/03/19,14:44:00,Cash,6.4
744-02-5987,A,Nueva York,Member,Male,Home and lifestyle, $470.28 , $493.79 ,01/10/19,2019,1,10,10/01/19,14:16:00,Ewallet,5.8
307-83-9164,A,Nueva York,Member,Male,Home and lifestyle, $240.04 , $252.04 ,1/25/2019,2019,1,25,25/01/19,15:54:00,Cash,4.5
779-06-0012,C,Houston,Member,Female,Home and lifestyle, $88.61 , $93.04 ,1/19/2019,2019,1,19,19/01/19,10:21:00,Cash,7.7
446-47-6729,C,Houston,Normal,Male,Fashion accessories, $199.64 , $209.62 ,01/02/19,2019,1,2,02/01/19,18:09:00,Credit card,6.7
573-10-3877,B,Chicago,Member,Male,Health and beauty, $39.01 , $40.96 ,03/12/19,2019,3,12,12/03/19,16:46:00,Credit card,4.7
735-06-4124,C,Houston,Normal,Male,Food and beverages, $48.61 , $51.04 ,2/25/2019,2019,2,25,25/02/19,15:31:00,Cash,4.4
439-54-7422,A,Nueva York,Normal,Female,Electronic accessories, $204.76 , $215.00 ,3/18/2019,2019,3,18,18/03/19,17:15:00,Credit card,4.7
396-90-2219,B,Chicago,Normal,Female,Electronic accessories, $119.68 , $125.66 ,2/23/2019,2019,2,23,23/02/19,12:29:00,Cash,8.6
411-77-0180,A,Nueva York,Member,Male,Electronic accessories, $505.40 , $530.67 ,3/26/2019,2019,3,26,26/03/19,20:14:00,Ewallet,4.3
286-01-5402,A,Nueva York,Normal,Female,Sports and travel, $281.61 , $295.69 ,3/30/2019,2019,3,30,30/03/19,13:22:00,Cash,9.6
803-17-8013,A,Nueva York,Member,Female,Home and lifestyle, $710.32 , $745.84 ,2/17/2019,2019,2,17,17/02/19,17:09:00,Cash,4.1
512-98-1403,A,Nueva York,Member,Female,Electronic accessories, $79.44 , $83.41 ,3/21/2019,2019,3,21,21/03/19,10:40:00,Ewallet,4.7
848-42-2560,A,Nueva York,Normal,Female,Fashion accessories, $163.82 , $172.01 ,03/05/19,2019,3,5,05/03/19,17:43:00,Cash,7.8
532-59-7201,B,Chicago,Member,Male,Sports and travel, $479.58 , $503.56 ,1/31/2019,2019,1,31,31/01/19,14:04:00,Cash,5.5
181-94-6432,C,Houston,Member,Male,Fashion accessories, $138.66 , $145.59 ,02/05/19,2019,2,5,05/02/19,19:05:00,Ewallet,9.7
870-76-1733,A,Nueva York,Member,Female,Food and beverages, $71.15 , $74.71 ,02/01/19,2019,2,1,01/02/19,10:08:00,Credit card,4.4
423-64-4619,A,Nueva York,Member,Female,Health and beauty, $139.95 , $146.95 ,03/07/19,2019,3,7,07/03/19,13:12:00,Cash,5.0
227-07-4446,C,Houston,Member,Female,Electronic accessories, $781.30 , $820.37 ,02/10/19,2019,2,10,10/02/19,20:51:00,Cash,4.4
174-36-3675,C,Houston,Member,Male,Food and beverages, $198.74 , $208.68 ,2/14/2019,2019,2,14,14/02/19,17:29:00,Cash,5.2
428-83-5800,C,Houston,Member,Female,Food and beverages, $63.24 , $66.40 ,02/09/19,2019,2,9,09/02/19,10:25:00,Cash,7.3
603-07-0961,C,Houston,Member,Male,Electronic accessories, $373.95 , $392.65 ,01/10/19,2019,1,10,10/01/19,11:34:00,Cash,4.9
704-20-4138,C,Houston,Member,Female,Health and beauty, $207.69 , $218.07 ,03/11/19,2019,3,11,11/03/19,18:58:00,Credit card,8.1
787-15-1757,C,Houston,Member,Male,Health and beauty, $176.28 , $185.09 ,2/18/2019,2019,2,18,18/02/19,16:28:00,Ewallet,8.4
649-11-3678,C,Houston,Normal,Female,Food and beverages, $206.37 , $216.69 ,2/26/2019,2019,2,26,26/02/19,20:26:00,Cash,5.5
622-20-1945,C,Houston,Normal,Female,Health and beauty, $39.42 , $41.39 ,1/18/2019,2019,1,18,18/01/19,15:08:00,Cash,8.4
372-94-8041,A,Nueva York,Normal,Male,Health and beauty, $91.56 , $96.14 ,2/15/2019,2019,2,15,15/02/19,18:03:00,Ewallet,9.8
563-91-7120,A,Nueva York,Normal,Female,Fashion accessories, $308.85 , $324.29 ,03/08/19,2019,3,8,08/03/19,13:21:00,Cash,6.7
746-54-5508,A,Nueva York,Normal,Male,Home and lifestyle, $129.12 , $135.58 ,1/17/2019,2019,1,17,17/01/19,12:48:00,Credit card,9.4
276-54-0879,B,Chicago,Normal,Male,Sports and travel, $390.96 , $410.51 ,03/12/19,2019,3,12,12/03/19,19:53:00,Ewallet,6.4
815-11-1168,A,Nueva York,Member,Male,Food and beverages, $498.90 , $523.85 ,03/09/19,2019,3,9,09/03/19,19:09:00,Cash,5.4
719-76-3868,C,Houston,Member,Male,Food and beverages, $377.04 , $395.89 ,03/12/19,2019,3,12,12/03/19,16:30:00,Cash,8.6
730-61-8757,B,Chicago,Member,Male,Health and beauty, $204.52 , $214.75 ,1/25/2019,2019,1,25,25/01/19,10:11:00,Credit card,4.0
340-66-0321,A,Nueva York,Member,Male,Electronic accessories, $145.44 , $152.71 ,3/25/2019,2019,3,25,25/03/19,13:07:00,Cash,7.6
868-81-1752,B,Chicago,Normal,Male,Home and lifestyle, $198.18 , $208.09 ,02/07/19,2019,2,7,07/02/19,18:48:00,Cash,6.8
634-97-8956,A,Nueva York,Normal,Male,Food and beverages, $98.70 , $103.64 ,2/17/2019,2019,2,17,17/02/19,17:27:00,Credit card,9.1
566-71-1091,A,Nueva York,Normal,Male,Fashion accessories, $385.10 , $404.36 ,02/03/19,2019,2,3,03/02/19,15:59:00,Cash,5.5
442-48-3607,A,Nueva York,Member,Male,Food and beverages, $46.96 , $49.31 ,3/14/2019,2019,3,14,14/03/19,11:21:00,Credit card,7.9
835-16-0096,C,Houston,Member,Male,Sports and travel, $73.50 , $77.18 ,3/24/2019,2019,3,24,24/03/19,13:48:00,Ewallet,8.5
527-09-6272,A,Nueva York,Member,Female,Electronic accessories, $142.25 , $149.36 ,3/21/2019,2019,3,21,21/03/19,10:17:00,Credit card,9.1
898-04-2717,A,Nueva York,Normal,Male,Fashion accessories, $687.60 , $721.98 ,3/19/2019,2019,3,19,19/03/19,15:49:00,Ewallet,7.5
692-27-8933,B,Chicago,Normal,Female,Sports and travel, $347.70 , $365.09 ,2/24/2019,2019,2,24,24/02/19,13:02:00,Cash,5.2
633-09-3463,C,Houston,Normal,Female,Electronic accessories, $142.95 , $150.10 ,3/28/2019,2019,3,28,28/03/19,12:58:00,Credit card,9.5
374-17-3652,B,Chicago,Member,Female,Food and beverages, $385.38 , $404.65 ,02/05/19,2019,2,5,05/02/19,15:26:00,Credit card,8.9
378-07-7001,B,Chicago,Member,Male,Electronic accessories, $144.27 , $151.48 ,02/10/19,2019,2,10,10/02/19,18:23:00,Credit card,7.8
433-75-6987,B,Chicago,Member,Female,Health and beauty, $391.79 , $411.38 ,03/05/19,2019,3,5,05/03/19,19:06:00,Ewallet,8.9
873-95-4984,B,Chicago,Member,Female,Health and beauty, $538.30 , $565.22 ,2/15/2019,2019,2,15,15/02/19,20:21:00,Cash,7.7
416-13-5917,C,Houston,Normal,Female,Food and beverages, $485.15 , $509.41 ,1/30/2019,2019,1,30,30/01/19,16:24:00,Ewallet,9.3
150-89-8043,A,Nueva York,Normal,Male,Sports and travel, $133.95 , $140.65 ,2/14/2019,2019,2,14,14/02/19,15:04:00,Cash,6.2
135-84-8019,A,Nueva York,Normal,Female,Fashion accessories, $701.37 , $736.44 ,2/27/2019,2019,2,27,27/02/19,16:10:00,Ewallet,7.6
441-94-7118,A,Nueva York,Member,Male,Electronic accessories, $71.95 , $75.55 ,02/04/19,2019,2,4,04/02/19,12:14:00,Cash,7.3
725-96-3778,C,Houston,Member,Female,Home and lifestyle, $714.00 , $749.70 ,1/20/2019,2019,1,20,20/01/19,10:13:00,Cash,4.7
531-80-1784,A,Nueva York,Normal,Male,Electronic accessories, $182.14 , $191.25 ,3/28/2019,2019,3,28,28/03/19,17:38:00,Cash,5.1
400-45-1220,B,Chicago,Normal,Female,Health and beauty, $135.00 , $141.75 ,2/27/2019,2019,2,27,27/02/19,11:06:00,Credit card,4.8
860-79-0874,C,Houston,Member,Female,Fashion accessories, $993.00 ," $1,042.65 ",2/15/2019,2019,2,15,15/02/19,14:53:00,Credit card,6.6
834-61-8124,A,Nueva York,Normal,Male,Electronic accessories, $361.83 , $379.92 ,1/26/2019,2019,1,26,26/01/19,18:22:00,Cash,5.5
115-99-4379,B,Chicago,Member,Female,Fashion accessories, $383.11 , $402.27 ,3/14/2019,2019,3,14,14/03/19,19:02:00,Credit card,8.5
565-67-6697,B,Chicago,Member,Male,Home and lifestyle, $243.00 , $255.15 ,03/02/19,2019,3,2,02/03/19,14:16:00,Cash,4.8
320-49-6392,C,Houston,Normal,Female,Electronic accessories, $30.24 , $31.75 ,03/04/19,2019,3,4,04/03/19,15:44:00,Cash,8.4
889-04-9723,B,Chicago,Member,Female,Food and beverages, $356.56 , $374.39 ,01/07/19,2019,1,7,07/01/19,12:20:00,Credit card,7.8
632-90-0281,C,Houston,Normal,Female,Fashion accessories, $375.50 , $394.28 ,03/08/19,2019,3,8,08/03/19,20:01:00,Credit card,9.3
554-42-2417,C,Houston,Normal,Female,Sports and travel, $954.40 ," $1,002.12 ",01/09/19,2019,1,9,09/01/19,13:45:00,Cash,5.2
453-63-6187,B,Chicago,Normal,Male,Electronic accessories, $82.50 , $86.63 ,03/01/19,2019,3,1,01/03/19,15:40:00,Ewallet,6.5
578-80-7669,B,Chicago,Normal,Male,Sports and travel, $74.97 , $78.72 ,3/16/2019,2019,3,16,16/03/19,16:58:00,Cash,5.6
612-36-5536,A,Nueva York,Member,Male,Food and beverages, $647.68 , $680.06 ,2/17/2019,2019,2,17,17/02/19,11:12:00,Credit card,7.4
605-72-4132,C,Houston,Normal,Female,Food and beverages, $755.76 , $793.55 ,2/27/2019,2019,2,27,27/02/19,15:12:00,Cash,9.1
471-41-2823,C,Houston,Normal,Male,Food and beverages, $199.58 , $209.56 ,03/07/19,2019,3,7,07/03/19,20:37:00,Ewallet,8.0
462-67-9126,A,Nueva York,Normal,Male,Home and lifestyle, $439.32 , $461.29 ,1/21/2019,2019,1,21,21/01/19,17:44:00,Cash,7.2
272-27-9238,C,Houston,Normal,Female,Food and beverages, $164.96 , $173.21 ,2/19/2019,2019,2,19,19/02/19,16:23:00,Cash,7.1
834-25-9262,C,Houston,Normal,Female,Fashion accessories, $326.72 , $343.06 ,01/06/19,2019,1,6,06/01/19,12:12:00,Cash,9.1
122-61-9553,C,Houston,Normal,Female,Electronic accessories, $461.88 , $484.97 ,3/14/2019,2019,3,14,14/03/19,19:33:00,Cash,5.6
